,color_red,color_green,word_red,word_green,task_color,verbal_red,verbal_green
0,0.75,0.5,1.0,1.0,0.25,0.5368963479995728,0.46310368180274963
1,0.5,0.5,1.0,1.0,0.0,0.5,0.5
2,0.5,0.5,1.0,1.0,0.25,0.5,0.5
3,0.5,0.5,1.0,0.75,0.25,0.5152603387832642,0.48473966121673584
4,0.25,0.5,1.0,1.0,0.25,0.46310368180274963,0.5368963479995728
5,0.25,0.5,1.0,1.0,0.0,0.4853931963443756,0.514606773853302
6,1.0,0.75,1.0,1.0,0.0,0.514606773853302,0.4853931963443756
7,0.0,0.5,1.0,1.0,0.25,0.4170345366001129,0.5829654335975647
8,0.25,0.5,1.0,0.75,0.25,0.4783151149749756,0.5216848850250244
9,0.75,0.75,1.0,1.0,0.0,0.5,0.5
10,0.0,0.5,1.0,1.0,0.0,0.46576207876205444,0.5342379212379456
11,1.0,0.75,1.0,0.75,0.0,0.5298405289649963,0.47015947103500366
12,0.5,0.75,1.0,1.0,0.0,0.4853931963443756,0.514606773853302
13,0.0,0.5,1.0,0.75,0.25,0.4319502115249634,0.5680497884750366
14,0.25,0.75,1.0,1.0,0.0,0.46576207876205444,0.5342379212379456
15,0.75,0.75,1.0,0.75,0.0,0.5152603387832642,0.48473966121673584
16,0.0,0.75,1.0,1.0,0.0,0.43543151021003723,0.5645684599876404
17,0.5,0.75,1.0,0.75,0.0,0.5006541013717651,0.4993458688259125
18,0.25,0.75,1.0,0.75,0.0,0.4809826612472534,0.5190173387527466
19,0.0,0.75,1.0,0.75,0.0,0.45049673318862915,0.5495032668113708
