,color_red,color_green,word_red,word_green,task_color,verbal_red,verbal_green
0,0.0,0.75,0.5,0.0,1.0,0.1557544767856598,0.8442454934120178
1,0.75,0.75,0.75,0.5,0.75,0.5152603387832642,0.48473966121673584
2,1.0,0.5,1.0,1.0,0.75,0.7626146078109741,0.23738540709018707
3,0.25,0.75,1.0,0.5,0.75,0.2646280527114868,0.7353719472885132
4,0.25,0.5,1.0,0.75,1.0,0.332763135433197,0.667236864566803
5,0.75,0.5,0.75,0.75,1.0,0.6806530356407166,0.31934699416160583
6,0.75,1.0,0.75,0.25,0.75,0.38650527596473694,0.6134947538375854
7,0.25,1.0,1.0,0.25,0.75,0.20549117028713226,0.7945088744163513
8,0.5,0.5,0.5,0.5,1.0,0.5,0.5
9,0.5,0.75,0.5,0.25,1.0,0.332763135433197,0.667236864566803
10,1.0,0.5,1.0,1.0,1.0,0.8000327944755554,0.19996720552444458
11,1.0,0.75,1.0,0.75,0.75,0.6610782146453857,0.33892178535461426
12,0.5,1.0,0.5,0.0,1.0,0.22417795658111572,0.7758219838142395
13,1.0,1.0,1.0,0.5,0.75,0.5361906886100769,0.4638093113899231
14,0.25,0.75,1.0,0.5,1.0,0.22417795658111572,0.7758219838142395
15,0.75,0.75,0.75,0.5,1.0,0.5152603387832642,0.48473966121673584
16,1.0,0.75,1.0,0.75,1.0,0.693776547908783,0.30622348189353943
17,0.75,1.0,0.75,0.25,1.0,0.35165825486183167,0.648341715335846
18,0.25,1.0,1.0,0.25,1.0,0.17414289712905884,0.8258571028709412
19,1.0,1.0,1.0,0.5,1.0,0.5361906886100769,0.4638093113899231
