trial,source_voltage
1,0
2,3
3,7
4,10
5,14
6,17
7,21
8,24
9,28
10,31
11,35
12,38
13,42
14,45
15,49
16,52
17,56
18,59
19,63
20,66
21,70
22,73
23,77
24,80
25,84
26,87
27,91
28,94
29,98
30,101
31,105
32,108
33,112
34,115
35,119
36,122
37,126
38,129
39,133
40,136
41,140
42,143
43,147
44,150
45,154
46,157
47,161
48,164
49,168
50,171
51,175
52,178
53,182
54,185
55,189
56,192
57,196
58,199
59,203
60,206
61,210
62,213
63,217
64,220
65,224
66,227
67,231
68,234
69,238
70,241
71,245
72,248
73,252
74,255
75,259
76,262
77,266
78,269
79,273
80,276
81,280
82,283
83,287
84,290
85,294
86,297
87,301
88,304
89,308
90,311
91,315
92,318
93,322
94,325
95,329
96,332
97,336
98,339
99,343
100,346
101,350
102,353
103,357
104,360
105,364
106,367
107,371
108,374
109,378
110,381
111,385
112,388
113,392
114,395
115,399
116,402
117,406
118,409
119,413
120,416
121,420
122,423
123,427
124,430
125,434
126,437
127,441
128,444
129,448
130,451
131,455
132,458
133,462
134,465
135,469
136,472
137,476
138,479
139,483
140,486
141,490
142,493
143,497
144,501
145,504
146,508
147,511
148,515
149,518
150,522
151,525
152,529
153,532
154,536
155,539
156,543
157,546
158,550
159,553
160,557
161,560
162,564
163,567
164,571
165,574
166,578
167,581
168,585
169,588
170,592
171,595
172,599
173,602
174,606
175,609
176,613
177,616
178,620
179,623
180,627
181,630
182,634
183,637
184,641
185,644
186,648
187,651
188,655
189,658
190,662
191,665
192,669
193,672
194,676
195,679
196,683
197,686
198,690
199,693
200,697
201,700
202,704
203,707
204,711
205,714
206,718
207,721
208,725
209,728
210,732
211,735
212,739
213,742
214,746
215,749
216,753
217,756
218,760
219,763
220,767
221,770
222,774
223,777
224,781
225,784
226,788
227,791
228,795
229,798
230,802
231,805
232,809
233,812
234,816
235,819
236,823
237,826
238,830
239,833
240,837
241,840
242,844
243,847
244,851
245,854
246,858
247,861
248,865
249,868
250,872
251,875
252,879
253,882
254,886
255,889
256,893
257,896
258,900
259,903
260,907
261,910
262,914
263,917
264,921
265,924
266,928
267,931
268,935
269,938
270,942
271,945
272,949
273,952
274,956
275,959
276,963
277,966
278,970
279,973
280,977
281,980
282,984
283,987
284,991
285,994
286,998
287,1002
288,1005
289,1009
290,1012
291,1016
292,1019
293,1023
294,1026
295,1030
296,1033
297,1037
298,1040
299,1044
300,1047
301,1051
302,1054
303,1058
304,1061
305,1065
306,1068
307,1072
308,1075
309,1079
310,1082
311,1086
312,1089
313,1093
314,1096
315,1100
316,1103
317,1107
318,1110
319,1114
320,1117
321,1121
322,1124
323,1128
324,1131
325,1135
326,1138
327,1142
328,1145
329,1149
330,1152
331,1156
332,1159
333,1163
334,1166
335,1170
336,1173
337,1177
338,1180
339,1184
340,1187
341,1191
342,1194
343,1198
344,1201
345,1205
346,1208
347,1212
348,1215
349,1219
350,1222
351,1226
352,1229
353,1233
354,1236
355,1240
356,1243
357,1247
358,1250
359,1254
360,1257
361,1261
362,1264
363,1268
364,1271
365,1275
366,1278
367,1282
368,1285
369,1289
370,1292
371,1296
372,1299
373,1303
374,1306
375,1310
376,1313
377,1317
378,1320
379,1324
380,1327
381,1331
382,1334
383,1338
384,1341
385,1345
386,1348
387,1352
388,1355
389,1359
390,1362
391,1366
392,1369
393,1373
394,1376
395,1380
396,1383
397,1387
398,1390
399,1394
400,1397
401,1401
402,1404
403,1408
404,1411
405,1415
406,1418
407,1422
408,1425
409,1429
410,1432
411,1436
412,1439
413,1443
414,1446
415,1450
416,1453
417,1457
418,1460
419,1464
420,1467
421,1471
422,1474
423,1478
424,1481
425,1485
426,1488
427,1492
428,1495
429,1499
430,1503
431,1506
432,1510
433,1513
434,1517
435,1520
436,1524
437,1527
438,1531
439,1534
440,1538
441,1541
442,1545
443,1548
444,1552
445,1555
446,1559
447,1562
448,1566
449,1569
450,1573
451,1576
452,1580
453,1583
454,1587
455,1590
456,1594
457,1597
458,1601
459,1604
460,1608
461,1611
462,1615
463,1618
464,1622
465,1625
466,1629
467,1632
468,1636
469,1639
470,1643
471,1646
472,1650
473,1653
474,1657
475,1660
476,1664
477,1667
478,1671
479,1674
480,1678
481,1681
482,1685
483,1688
