,color_red,color_green,word_red,word_green,task_color,verbal_red,verbal_green
0,0.5,0.75,0.25,0.5,0.25,0.4479605257511139,0.5520395040512085
1,0.25,0.75,0.0,0.0,1.0,0.19996720552444458,0.8000327944755554
2,0.0,0.0,0.5,0.25,0.25,0.5152603387832642,0.48473966121673584
3,0.25,0.25,0.5,1.0,1.0,0.4638093113899231,0.5361906886100769
4,1.0,0.5,0.5,0.5,1.0,0.8000327944755554,0.19996720552444458
5,0.25,0.0,0.25,0.5,0.5,0.5682232975959778,0.4317767024040222
6,0.0,0.75,0.5,0.5,0.75,0.163699671626091,0.8363003134727478
7,1.0,0.75,1.0,1.0,0.5,0.5831374526023865,0.4168625771999359
8,0.5,0.25,0.0,0.75,0.0,0.445173978805542,0.554826021194458
9,0.25,0.75,0.75,0.75,0.5,0.32987821102142334,0.6701217889785767
10,0.5,0.25,1.0,1.0,0.5,0.5831374526023865,0.4168625771999359
11,0.5,0.0,0.5,0.75,0.0,0.5190173387527466,0.4809826612472534
12,0.75,0.5,0.75,0.5,0.75,0.6610782146453857,0.33892178535461426
13,0.25,0.25,0.25,0.25,0.0,0.5,0.5
14,1.0,0.75,0.5,0.5,0.5,0.5831374526023865,0.4168625771999359
15,0.5,0.0,0.25,1.0,0.25,0.5140777230262756,0.48592230677604675
16,0.5,1.0,0.75,0.5,0.75,0.24861599504947662,0.7513840198516846
17,0.5,0.75,0.25,1.0,0.0,0.4165196716785431,0.5834803581237793
18,0.0,0.25,0.5,0.25,0.0,0.5006541013717651,0.4993458688259125
19,0.75,0.0,0.25,0.0,1.0,0.8694652915000916,0.13053472340106964
